Date,Timestamp,Open,High,Low,Close,Volume
20260521,03:07:00,4536.575,4537.495,4534.975,4535.035,0.022679999427055
20260521,03:08:00,4534.975,4536.905,4534.845,4536.905,0.0325799991842359
20260521,03:09:00,4536.845,4537.435,4536.535,4536.955,0.0230999994237209
20260521,03:10:00,4536.825,4537.425,4536.705,4537.035,0.0179399995540734
20260521,03:11:00,4536.965,4538.585,4536.765,4537.635,0.0305999992415309
20260521,03:12:00,4537.535,4537.895,4536.265,4537.065,0.0203999994846527
20260521,03:13:00,4537.155,4538.335,4537.075,4537.925,0.0219599994452437
20260521,03:14:00,4537.955,4538.755,4537.468,4537.645,0.02204999946116
20260521,03:15:00,4537.655,4537.795,4534.245,4534.915,0.0344999991793884
20260521,03:16:00,4534.975,4535.465,4534.225,4535.405,0.0234599994437303
20260521,03:17:00,4535.375,4535.505,4532.725,4532.725,0.0214799994864734
20260521,03:18:00,4532.785,4535.735,4532.708,4535.445,0.0226199994649505
20260521,03:19:00,4535.415,4535.915,4534.795,4535.175,0.0188999995880295
20260521,03:20:00,4535.195,4537.875,4535.195,4537.835,0.0246599994134158
20260521,03:21:00,4537.558,4539.135,4537.558,4539.125,0.0255599994125078
20260521,03:22:00,4539.105,4540.025,4539.045,4539.645,0.0266999994055368
20260521,03:23:00,4539.765,4539.825,4537.045,4537.105,0.0235199994494906
20260521,03:24:00,4537.135,4537.955,4536.795,4537.505,0.0201599995343713
20260521,03:25:00,4537.475,4538.065,4536.575,4536.935,0.0236099994945107
20260521,03:26:00,4536.965,4536.965,4534.695,4535.055,0.0246599994425196
20260521,03:27:00,4535.005,4535.715,4534.795,4535.525,0.03569999911997
20260521,03:28:00,4535.538,4535.618,4533.925,4534.475,0.0360599991108757
20260521,03:29:00,4534.555,4535.978,4534.555,4535.378,0.0423599989590002
20260521,03:30:00,4535.338,4536.938,4535.165,4536.518,0.0401699990034103
20260521,03:31:00,4536.478,4536.538,4534.935,4535.515,0.0218499994516606
20260521,03:32:00,4535.515,4536.055,4535.255,4535.255,0.0216599994600983
20260521,03:33:00,4535.315,4535.445,4533.425,4533.505,0.0192599995207274
20260521,03:34:00,4533.485,4534.035,4533.225,4533.985,0.0287999993015546
20260521,03:35:00,4533.985,4534.345,4531.638,4532.195,0.0267899993195897
20260521,03:36:00,4532.195,4532.725,4531.638,4531.638,0.0236399994319072
20260521,03:37:00,4531.745,4532.865,4531.465,4532.735,0.0242999994225102
20260521,03:38:00,4532.765,4533.415,4532.545,4532.545,0.0193199995846953
20260521,03:39:00,4532.545,4532.865,4531.475,4532.295,0.0218399995210348
20260521,03:40:00,4532.325,4533.275,4532.035,4532.425,0.0229799994704081
20260521,03:41:00,4532.405,4534.085,4531.698,4533.695,0.0193199995410396
20260521,03:42:00,4533.715,4535.235,4533.105,4534.865,0.0206099994829856
20260521,03:43:00,4534.865,4535.875,4534.835,4535.605,0.0250799994537374
20260521,03:44:00,4535.595,4535.875,4533.315,4533.715,0.0244199994049268
20260521,03:45:00,4533.755,4533.965,4532.315,4532.975,0.0243599994282704
20260521,03:46:00,4533.045,4533.915,4532.975,4533.455,0.0103199997829506
20260521,03:47:00,4533.358,4534.125,4532.725,4532.815,0.0208199995977338
20260521,03:48:00,4532.875,4532.995,4531.815,4532.175,0.013259999701404
20260521,03:49:00,4532.078,4532.185,4531.315,4531.495,0.0160799996519927
20260521,03:50:00,4531.565,4531.655,4529.895,4530.465,0.0299099993280834
20260521,03:51:00,4530.515,4530.695,4529.658,4529.908,0.0236399993882515
20260521,03:52:00,4529.935,4530.835,4529.405,4529.955,0.0407399987889221
20260521,03:53:00,4529.985,4530.945,4528.295,4529.865,0.0292799992457731
20260521,03:54:00,4529.885,4531.275,4527.075,4527.985,0.0305999992560828
20260521,03:55:00,4527.995,4529.365,4527.145,4528.898,0.0285899993177736
20260521,03:56:00,4528.725,4529.035,4527.045,4528.085,0.0255599993834039
20260521,03:57:00,4528.055,4528.845,4527.975,4528.145,0.0203999994846527
20260521,03:58:00,4528.265,4529.515,4527.905,4528.425,0.0208199994958704
20260521,03:59:00,4528.425,4528.935,4527.565,4527.985,0.0234599994146265
20260521,04:00:00,4527.985,4529.185,4527.045,4529.165,0.0269699993223185
20260521,04:01:00,4529.165,4530.075,4528.915,4530.025,0.018059999551042
20260521,04:02:00,4530.495,4532.705,4529.865,4532.615,0.025889999451465
20260521,04:03:00,4532.665,4532.665,4531.235,4531.375,0.0181799995771144
20260521,04:04:00,4531.325,4532.345,4531.125,4531.735,0.0156299996160669
20260521,04:05:00,4531.755,4533.445,4531.705,4532.985,0.0219899994699517
20260521,04:06:00,4533.045,4533.205,4532.095,4532.175,0.0139199996629031
20260521,04:07:00,4532.155,4532.485,4531.845,4532.005,0.0129599997162586
20260521,04:08:00,4532.005,4532.535,4530.725,4531.325,0.0175799995631678
20260521,04:09:00,4531.305,4532.495,4531.165,4532.345,0.0150899996369844
20260521,04:10:00,4532.365,4534.325,4532.125,4534.155,0.0130799996841233
20260521,04:11:00,4534.105,4535.405,4534.105,4534.765,0.0223199994361494
20260521,04:12:00,4534.685,4535.265,4534.125,4534.515,0.0188399995386135
20260521,04:13:00,4534.695,4535.725,4534.515,4535.595,0.0163499995978782
20260521,04:14:00,4535.635,4536.315,4535.605,4535.805,0.0142199996480485
20260521,04:15:00,4535.825,4536.215,4534.475,4535.335,0.0227699994720751
20260521,04:16:00,4535.265,4535.925,4534.995,4535.845,0.0129599996871548
20260521,04:17:00,4535.875,4536.205,4535.305,4535.475,0.0144599996710895
20260521,04:18:00,4535.445,4535.845,4534.805,4535.095,0.015209999633953
20260521,04:19:00,4535.065,4535.175,4534.155,4534.235,0.0160799997102004
20260521,04:20:00,4534.315,4535.575,4534.128,4535.495,0.0113999997411156
20260521,04:21:00,4535.525,4536.795,4535.515,4536.675,0.0146999997232342
20260521,04:22:00,4536.735,4536.835,4535.175,4535.268,0.0135599997156532
20260521,04:23:00,4535.268,4535.855,4534.805,4534.975,0.0120299997361144
20260521,04:24:00,4534.895,4536.595,4534.785,4536.515,0.0168899996351684
20260521,04:25:00,4536.745,4537.935,4536.398,4537.775,0.0182399995828746
20260521,04:26:00,4537.708,4538.675,4537.685,4538.675,0.0157499996421393
20260521,04:27:00,4538.565,4539.475,4538.435,4539.185,0.0163199995877221
20260521,04:28:00,4539.225,4539.915,4538.915,4539.225,0.0204599994904129
20260521,04:29:00,4539.265,4539.645,4538.415,4539.615,0.0174599995807512
20260521,04:30:00,4539.805,4540.405,4538.185,4538.275,0.0220199994801078
20260521,04:31:00,4538.305,4539.155,4537.735,4538.765,0.0172799995925743
20260521,04:32:00,4538.815,4538.875,4537.085,4537.705,0.0146999996941304
20260521,04:33:00,4537.745,4538.685,4536.795,4537.565,0.0175799995922716
20260521,04:34:00,4537.585,4537.755,4536.275,4536.565,0.0189299995836336
20260521,04:35:00,4536.615,4537.165,4536.285,4536.475,0.0108299997373251
20260521,04:36:00,4536.445,4536.725,4533.565,4533.795,0.0195599995349767
20260521,04:37:00,4533.845,4534.885,4533.845,4534.505,0.0166199996456271
20260521,04:38:00,4534.525,4535.715,4534.495,4535.668,0.0146999996795785
20260521,04:39:00,4535.685,4537.145,4535.435,4536.975,0.0142799996683607
20260521,04:40:00,4536.955,4537.975,4536.795,4537.225,0.0133199997071642
20260521,04:41:00,4537.275,4537.275,4536.098,4536.335,0.0118799997144379
20260521,04:42:00,4536.288,4536.655,4536.125,4536.395,0.0110999997414183
20260521,04:43:00,4536.365,4537.218,4536.325,4536.945,0.0140399996744236
20260521,04:44:00,4536.915,4537.085,4536.255,4536.915,0.0132599996723002
20260521,04:45:00,4536.935,4536.935,4535.715,4535.975,0.0123299997503636
20260521,04:46:00,4535.955,4536.255,4535.595,4535.595,0.00893999978143256
20260521,04:47:00,4535.575,4536.175,4535.235,4536.105,0.0161999996635132
20260521,04:48:00,4536.135,4536.235,4535.518,4535.865,0.0107999997562729
20260521,04:49:00,4535.845,4536.315,4535.608,4536.075,0.0142199996480485
20260521,04:50:00,4536.115,4538.215,4536.115,4538.175,0.0142799996683607
20260521,04:51:00,4538.205,4538.515,4537.585,4537.585,0.0124799996847287
20260521,04:52:00,4537.585,4538.115,4536.885,4536.985,0.015659999626223
20260521,04:53:00,4537.005,4537.445,4536.325,4537.105,0.0150599996413803
20260521,04:54:00,4537.105,4537.125,4535.585,4535.695,0.00965999977779575
20260521,04:55:00,4535.845,4537.165,4535.845,4536.775,0.0178199995571049
20260521,04:56:00,4536.745,4537.775,4536.475,4537.775,0.0139799996541115
20260521,04:57:00,4537.755,4537.885,4537.375,4537.735,0.0167099995742319
20260521,04:58:00,4537.755,4538.155,4537.605,4538.125,0.014759999627131
20260521,04:59:00,4538.135,4539.055,4538.075,4538.275,0.0152399996150052
20260521,05:00:00,4538.295,4538.985,4537.715,4538.115,0.0290099993144395
20260521,05:01:00,4538.155,4540.365,4538.155,4539.175,0.0281699992920039
20260521,05:02:00,4539.365,4539.535,4538.008,4538.225,0.0226199994649505
20260521,05:03:00,4538.085,4538.375,4536.438,4537.785,0.0214199994661612
20260521,05:04:00,4537.805,4537.965,4537.415,4537.925,0.0130799996841233
