strategy,family,window,opened_at_utc,closed_at_utc,direction,entry,exit,size_oz,stop_distance_usd,gross_pnl_usd,entry_fee_usd,exit_fee_usd,net_pnl_usd,exit_reason,bars_held,ambiguous_ohlc_exit,balance_after
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-11-11T08:55:00+00:00,2020-11-11T10:00:00+00:00,SHORT,1877.26,1881.76,0.1212,4.0,-0.5454,0.09101,0.091228,-0.727637,SL_HIT,13,False,47.733767
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-11-11T12:15:00+00:00,2020-11-11T13:45:00+00:00,SHORT,1872.98,1865.01,0.1193,4.0,0.950821,0.089379,0.088998,0.772444,TP_HIT,18,False,48.506211
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-11-17T07:20:00+00:00,2020-11-17T08:40:00+00:00,SHORT,1887.56,1892.11,0.1213,4.0,-0.551915,0.091584,0.091805,-0.735305,SL_HIT,16,False,47.770906
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-11-23T07:25:00+00:00,2020-11-23T08:40:00+00:00,LONG,1874.86,1869.92,0.1194,4.0,-0.589836,0.089543,0.089307,-0.768687,SL_HIT,15,False,47.002219
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-11-23T13:10:00+00:00,2020-11-23T14:50:00+00:00,SHORT,1866.87,1858.9,0.1175,4.0,0.936475,0.087743,0.087368,0.761364,TP_HIT,20,False,47.763583
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-11-24T08:00:00+00:00,2020-11-24T10:30:00+00:00,SHORT,1827.35,1819.38,0.1194,4.0,0.951618,0.087274,0.086894,0.77745,TP_HIT,30,False,48.541033
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-11-25T11:55:00+00:00,2020-11-25T15:55:00+00:00,LONG,1812.92,1810.9,0.1214,4.0,-0.245228,0.088035,0.087937,-0.421201,TIME_EXIT,48,False,48.119833
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-11-27T07:20:00+00:00,2020-11-27T11:20:00+00:00,SHORT,1807.85,1807.87,0.1203,4.0,-0.002406,0.086994,0.086995,-0.176394,TIME_EXIT,48,False,47.943438
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-11-27T12:50:00+00:00,2020-11-27T13:15:00+00:00,SHORT,1806.74,1798.77,0.1199,4.0,0.955603,0.086651,0.086269,0.782683,TP_HIT,5,False,48.726121
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-11-30T09:50:00+00:00,2020-11-30T10:55:00+00:00,SHORT,1773.56,1765.59,0.1218,4.0,0.970746,0.086408,0.08602,0.798319,TP_HIT,13,False,49.52444
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-12-08T08:35:00+00:00,2020-12-08T09:45:00+00:00,LONG,1866.93,1862.22,0.1238,4.0,-0.583098,0.09245,0.092217,-0.767766,SL_HIT,14,False,48.756674
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-12-11T10:35:00+00:00,2020-12-11T11:30:00+00:00,SHORT,1833.78,1825.81,0.1219,4.0,0.971543,0.089415,0.089026,0.793101,TP_HIT,11,False,49.549775
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-12-11T12:25:00+00:00,2020-12-11T13:00:00+00:00,SHORT,1831.39,1835.58,0.1239,4.0,-0.519141,0.090764,0.090971,-0.700876,SL_HIT,7,False,48.848899
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-12-17T11:20:00+00:00,2020-12-17T13:45:00+00:00,LONG,1877.44,1885.41,0.1221,4.0,0.973137,0.091694,0.092083,0.789359,TP_HIT,29,False,49.638259
