opened_at,closed_at,direction,entry_hour_utc,zscore,adx,atr,atr_ratio,turn_confirmed,reference_price,entry_price,exit_price,sl_distance,size_oz,bars_held,mfe_r,mfe_before_exit_r,mae_r,ambiguous_ohlc_exit,stop_overshoot_r,diagnosis_tag,exit_reason,gross_pnl_usd,entry_fee_usd,exit_fee_usd,net_pnl_usd,balance_after
2025-07-03T16:40:00+00:00,2025-07-04T03:35:00+00:00,SHORT,16,2.328,16.2658,2.2241,0.5524,True,3332.16,3331.93,3337.535,5.56,0.1457,119,1.464,1.464,1.0027,False,0.0027,GAVE_BACK_AFTER_1R,SL_HIT,-0.816649,0.194185,0.194512,-1.205345,79.788806
2025-07-09T10:40:00+00:00,2025-07-09T11:55:00+00:00,SHORT,10,2.286,16.0865,2.0672,0.8571,True,3294.78,3294.55,3284.24,5.17,0.1543,15,2.1451,1.8511,0.3075,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.590833,0.20334,0.202703,1.18479,80.973596
2025-08-26T07:20:00+00:00,2025-08-26T15:10:00+00:00,LONG,7,-2.231,16.0201,2.23,1.2849,True,3369.7,3369.93,3381.04,5.57,0.1454,94,2.149,1.9749,0.5099,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.615394,0.195995,0.196641,1.222758,82.196353
2025-09-04T13:25:00+00:00,2025-09-05T12:30:00+00:00,SHORT,13,2.386,17.1404,3.6296,1.244,True,3552.63,3552.4,3583.46,9.07,0.0906,265,1.8886,1.8886,3.4212,False,2.4212,GAVE_BACK_AFTER_1R,SL_HIT,-2.814036,0.128739,0.129865,-3.07264,79.123714
2025-10-16T09:30:00+00:00,2025-10-16T10:55:00+00:00,LONG,9,-2.215,12.6664,3.9155,0.7962,True,4225.24,4225.47,4245.02,9.79,0.0808,17,2.1073,1.7743,0.2972,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.57964,0.136567,0.137199,1.305874,80.429588
2025-10-20T12:00:00+00:00,2025-10-20T12:15:00+00:00,SHORT,12,2.205,15.7297,4.9083,1.0061,True,4276.06,4275.83,4295.1,12.27,0.0655,3,0.2355,0.2355,1.5681,False,0.5681,NO_REVERSAL,SL_HIT,-1.262185,0.112027,0.112532,-1.486743,78.942844
2025-11-19T15:00:00+00:00,2025-11-19T15:50:00+00:00,SHORT,15,2.371,15.7451,6.3551,1.3446,True,4126.6,4126.37,4094.62,15.89,0.0497,10,2.2826,1.4179,0.404,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.577975,0.082032,0.081401,1.414542,80.357386
2025-11-25T12:45:00+00:00,2025-11-25T13:30:00+00:00,LONG,12,-2.275,15.0077,5.0232,1.0925,True,4121.24,4121.47,4146.56,12.56,0.064,9,2.1624,1.9976,0.0868,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.60576,0.10551,0.106152,1.394098,81.751484
2025-11-26T11:35:00+00:00,2025-11-26T12:45:00+00:00,SHORT,11,2.531,15.9762,3.3866,0.9408,True,4172.1,4171.87,4154.96,8.47,0.0965,14,2.7473,1.8961,0.2243,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.631815,0.161034,0.160381,1.310399,83.061884
2025-12-10T13:45:00+00:00,2025-12-10T19:00:00+00:00,SHORT,13,2.258,15.435,3.1754,1.2432,True,4202.5,4202.27,4211.37,7.94,0.1046,63,1.6562,1.6562,1.1423,False,0.1423,GAVE_BACK_AFTER_1R,SL_HIT,-0.95186,0.175823,0.176204,-1.303887,81.757997
2025-12-26T10:20:00+00:00,2025-12-26T11:10:00+00:00,SHORT,10,2.263,17.3038,3.1251,0.9368,True,4522.31,4522.08,4506.49,7.81,0.1047,10,2.3956,1.9296,0.2458,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.632273,0.189385,0.188732,1.254156,83.012154
2026-01-02T10:40:00+00:00,2026-01-02T13:15:00+00:00,SHORT,10,2.26,15.823,3.5804,1.0242,True,4393.66,4393.43,4402.81,8.95,0.0928,31,0.9084,0.9084,1.0447,False,0.0447,PARTIAL_REVERSAL,SL_HIT,-0.870464,0.163084,0.163432,-1.19698,81.815173
2026-01-13T12:25:00+00:00,2026-01-13T13:00:00+00:00,LONG,12,-2.223,13.9027,3.1435,0.9399,True,4580.23,4580.46,4596.15,7.86,0.1041,7,2.0146,1.8289,0.2017,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.633329,0.19073,0.191384,1.251215,83.066388
2026-01-14T14:40:00+00:00,2026-01-14T15:00:00+00:00,LONG,14,-2.526,15.5947,6.087,1.4606,True,4618.77,4619.0,4602.385,15.22,0.0546,4,0.0838,0.0838,1.0897,False,0.0897,NO_REVERSAL,SL_HIT,-0.907179,0.100879,0.100516,-1.108574,81.957814
2026-01-26T08:55:00+00:00,2026-01-26T13:00:00+00:00,LONG,8,-2.243,16.6453,5.7295,0.7726,True,5083.25,5083.48,5065.77,14.32,0.0572,49,1.0475,1.0475,1.2346,False,0.2346,GAVE_BACK_AFTER_1R,SL_HIT,-1.013012,0.11631,0.115905,-1.245227,80.712587
